JD,Flx(V),E_flx,Q/I,E_Q/I,U/I,E_U/I,V-J,E_V-J
4939.94,4.67E-11,6.43E-14,-0.0402,0.0026,-0.0602,0.0025,2.032,0.006
4940.95,4.87E-11,1.28E-13,-0.0871,0.0032,-0.0245,0.0115,1.981,0.006
4942.95,6.16E-11,2.39E-13,-0.0591,0.0029,-0.051,0.0042,1.93,0.007
4943.95,5.92E-11,1.20E-13,-0.0078,0.007,0.0162,0.0067,1.926,0.004
4944.95,6.69E-11,2.02E-13,-0.03,0.0016,-0.0419,0.0071,1.866,0.007
4947.99,6.56E-11,1.87E-13,-0.0397,0.0106,-0.0525,0.0086,1.916,0.006
4948.95,7.64E-11,2.56E-13,-0.0246,0.0086,-0.0432,0.0045,1.89,0.005
4949.97,7.15E-11,9.63E-14,-0.0638,0.0021,-0.0089,0.0026,1.985,0.028
4951.04,7.66E-11,1.93E-13,-0.0896,0.0021,0.0049,0.0018,1.862,0.004
4952.95,6.86E-11,1.78E-13,-0.1086,0.0014,-0.0096,0.0052,1.979,0.004
4957.99,5.27E-11,3.09E-13,0.0381,0.0056,-0.0136,0.0052,1.884,0.007
4959.96,5.37E-11,2.24E-13,-0.023,0.008,-0.0445,0.0066,1.9,0.006
4960.98,5.89E-11,2.15E-13,0.0079,0.0128,0.0936,0.0014,1.902,0.013
4961.97,5.08E-11,1.04E-13,-0.0429,0.006,0.052,0.0036,1.986,0.005
4962.96,5.30E-11,1.26E-13,0.0031,0.0076,0.034,0.005,1.955,0.005
4964.97,4.25E-11,7.05E-14,0.0638,0.0008,-0.0253,0.0046,2,0.005
4965.96,5.03E-11,1.25E-13,0.0725,0.007,-0.0103,0.0084,1.884,0.005
4969.96,2.91E-11,9.72E-14,0.0624,0.0084,-0.0665,0.0144,1.963,0.006
4970.96,3.71E-11,1.36E-13,0.0878,0.0105,-0.0378,0.011,1.948,0.01
4976.05,5.05E-11,1.81E-13,0.0158,0.002,-0.0202,0.0031,1.867,0.007
4976.97,5.32E-11,4.69E-13,-0.0211,0.0077,0.018,0.0368,1.901,0.011
4982.96,8.18E-11,2.55E-13,0.0238,0.0054,-0.0098,0.0099,1.81,0.005
4983.97,7.39E-11,2.07E-13,0.0273,0.0027,-0.0397,0.0034,1.839,0.006
4999.97,8.68E-11,5.59E-13,-0.0552,0.0026,0.0102,0.006,1.791,0.009
5000.99,1.13E-10,4.61E-13,-0.0982,0.0062,0.0142,0.007,1.805,0.007
5008.98,7.67E-11,1.50E-13,-0.0218,0.0087,-0.0572,0.0071,1.866,0.005
5028.99,6.92E-11,2.56E-13,-0.019,0.0027,-0.0303,0.0042,1.87,0.005
5061.25,1.15E-10,3.34E-13,-0.096,0.0043,-0.0308,0.0016,1.807,0.005
5062.31,1.09E-10,4.12E-13,-0.0778,0.0031,-0.0104,0.005,1.829,0.006
5063.24,1.16E-10,3.07E-13,-0.0355,0.0053,0.0109,0.0017,1.784,0.005
5066.29,1.31E-10,2.83E-13,-0.0808,0.0014,0.0176,0.0032,1.799,0.003
5067.29,1.01E-10,4.01E-13,-0.0793,0.0017,0.0184,0.0066,1.832,0.006
5068.29,9.41E-11,1.40E-13,0.0008,0.0015,-0.0323,0.0032,1.871,0.002
